2 ,3A 10A 13A ,0 0 1 
1 ,17A 0A 19A ,1 0 0 
3 ,12C 14C 11C ,0 1 0 
0 ,12S 11S 14S ,1 0 0 
2 ,5S 4A 2S ,0 1 0 
1 ,5D 2D 10D ,1 0 0 
2 ,4S 16A 10S ,0 1 0 
2 ,12H 5H 11H ,1 0 0 
2 ,13H 8H 7H ,1 0 0 
1 ,14H 20A 14A ,1 0 0 
0 ,12D 13D 11D ,0 0 1 
1 ,13C 6C 10C ,0 1 0 
2 ,11A 21A 12A ,0 1 0 
2 ,18A 9A 7A ,1 0 0 
1 ,10H 6A 2A ,1 0 0 
1 ,14D 4D 7D ,0 0 1 
2 ,9D 1A 5A ,0 0 1 
1 ,6H 8A 1C ,1 0 0 
2 ,8S 3C 15A ,0 0 1 
2 ,1H 2C 4C ,1 0 0 
2 ,9C 3D 5C ,1 0 0 
2 ,3H 3S 7C ,1 0 0 
2 ,4H 6S 8C ,1 0 0 
2 ,9H 9S 1S ,1 0 0 
3 ,14C 12C 13C ,1 0 1 
3 ,13D 12D 4D ,1 0 1 
0 ,13S 14S 12S ,1 0 1 
3 ,14D 4A 5D ,0 1 1 
2 ,12H 1H 8H ,1 1 0 
2 ,13H 6H 9H ,1 1 0 
3 ,14H 2A 10H ,1 1 0 
2 ,17A 19A 20A ,1 0 1 
0 ,16A 0A 21A ,1 1 0 
1 ,5C 3C 1C ,0 1 1 
2 ,6C 10C 2C ,0 1 1 
2 ,6S 3S 1S ,1 1 0 
2 ,7S 4S 5S ,1 1 0 
1 ,8S 10S 11A ,1 1 0 
2 ,7C 7A 4C ,0 1 1 
2 ,2H 6A 3A ,1 1 0 
2 ,8D 2D 12A ,1 0 1 
3 ,3H 8A 1A ,1 1 0 
2 ,9D 8C 10A ,1 0 1 
2 ,4H 13A 9C ,1 1 0 
2 ,11S 6D 5A ,1 0 1 
2 ,5H 14A 3D ,1 1 0 
2 ,11D 10D 11H ,1 0 1 
2 ,9A 7D 7H ,1 0 1 
0 ,12C 13C 11C ,1 0 1 
1 ,13D 4D 11D ,0 1 1 
3 ,12S 13S 2S ,0 1 1 
2 ,8C 4C 2C ,1 1 0 
2 ,9D 1D 5D ,1 1 0 
1 ,10D 3D 10A ,1 1 0 
0 ,14S 1S 11S ,0 1 1 
3 ,12H 1H 14H ,0 1 1 
3 ,14C 6C 13A ,1 0 1 
2 ,6S 4S 3S ,1 1 0 
1 ,7S 5S 1A ,1 1 0 
1 ,13H 2H 7H ,0 1 1 
2 ,4H 3H 16A ,0 1 1 
2 ,5C 9A 19A ,1 0 1 
1 ,10S 8S 15A ,1 1 0 
2 ,6H 5H 2A ,0 1 1 
2 ,7C 5A 6A ,1 0 1 
3 ,17A 18A 0A ,1 1 0 
2 ,9C 4A 7A ,1 0 1 
2 ,20A 11A 12A ,1 1 0 
2 ,14A 6D 8H ,1 1 0 
2 ,3A 7D 9H ,1 1 0 
2 ,8A 8D 10H ,1 1 0 
3 ,21A 9S 11H ,1 1 0 
0 ,14C 12C 11C ,0 1 1 
3 ,12D 3D 13D ,0 1 1 
3 ,13H 6H 12H ,1 0 1 
1 ,1C 3C 2C ,1 0 1 
1 ,14D 7D 1D ,0 1 1 
0 ,13S 12S 11S ,0 1 1 
1 ,14S 1S 3S ,0 1 1 
1 ,7C 6C 4C ,0 1 1 
2 ,8C 13C 5C ,0 1 1 
3 ,14H 7H 9H ,1 1 0 
1 ,8D 4D 9D ,1 1 0 
2 ,10C 13A 9C ,0 1 1 
2 ,7S 6S 2S ,1 1 0 
2 ,10S 9S 4S ,1 1 0 
3 ,2H 10H 0A ,1 1 0 
2 ,5D 10D 19A ,1 0 1 
1 ,3H 7A 16A ,1 1 0 
2 ,5S 9A 11A ,0 1 1 
2 ,6D 11D 14A ,1 0 1 
3 ,4H 21A 18A ,1 1 0 
2 ,17A 10A 20A ,1 0 1 
1 ,5H 2A 6A ,1 1 0 
2 ,8S 3A 12A ,0 1 1 
1 ,1A 15A 5A ,1 0 1 
0 ,12C 13C 14C ,1 1 0 
0 ,13D 11D 12D ,0 1 1 
1 ,14D 1D 5D ,0 1 1 
0 ,14S 2S 13S ,0 1 1 
0 ,13H 12H 2H ,0 1 1 
0 ,14H 11H 7H ,0 1 1 
1 ,3C 2C 1C ,0 1 1 
2 ,4C 6C 5C ,0 1 1 
2 ,7C 13A 8C ,1 1 0 
2 ,9D 6D 2D ,1 0 1 
2 ,4S 3S 20A ,1 0 1 
2 ,9C 7A 10C ,1 1 0 
2 ,6S 8S 14A ,1 0 1 
2 ,3D 6A 10D ,1 1 0 
2 ,7S 11S 4A ,1 0 1 
1 ,4D 11A 15A ,1 1 0 
2 ,5H 3H 10H ,0 1 1 
1 ,10S 21A 17A ,1 0 1 
1 ,9H 4H 0A ,0 1 1 
2 ,16A 12A 19A ,0 1 1 
1 ,9A 18A 8D ,1 0 1 
2 ,5A 7D 10A ,0 1 1 
1 ,2A 8A 8H ,1 0 1 
3 ,1A 11C 3A ,0 1 1 
3 ,13S 3S 12S ,1 0 1 
3 ,14S 7S 5S ,1 0 1 
3 ,14H 12H 6H ,1 0 1 
2 ,6C 1C 2C ,1 0 1 
2 ,7C 4C 3C ,1 0 1 
1 ,8C 14C 5C ,1 0 1 
1 ,12C 9C 10C ,0 1 1 
2 ,13C 11A 13A ,0 1 1 
2 ,5D 3D 1D ,1 0 1 
2 ,10D 4D 2D ,1 0 1 
2 ,2S 10S 11S ,1 0 1 
3 ,13D 20A 14D ,1 1 0 
2 ,4S 9A 10A ,1 0 1 
2 ,9D 6A 6D ,1 1 0 
2 ,8S 14A 18A ,1 0 1 
2 ,7H 1H 4H ,1 1 0 
1 ,9H 2H 17A ,1 1 0 
2 ,12D 11D 4A ,0 1 1 
1 ,8H 12A 10H ,1 0 1 
2 ,7D 2A 3A ,0 1 1 
1 ,16A 21A 19A ,1 0 1 
3 ,8D 1A 0A ,0 1 1 
1 ,5A 8A 15A ,1 1 0 
2 ,11C 7A 11H ,0 1 1 
3 ,12C 13C 14C ,0 1 1 
0 ,12D 13D 3D ,1 0 1 
0 ,14D 11D 1D ,0 1 1 
3 ,12S 14S 2S ,0 1 1 
3 ,13H 1H 11H ,1 1 0 
3 ,14H 9H 4H ,1 1 0 
2 ,5C 4C 1C ,1 1 0 
2 ,7C 6C 2C ,1 1 0 
2 ,8C 9C 3C ,1 1 0 
2 ,6D 2D 5D ,1 0 1 
2 ,9D 4D 7D ,1 0 1 
2 ,10D 8D 9A ,1 0 1 
1 ,10C 11C 13A ,1 1 0 
1 ,13S 11S 3S ,0 1 1 
2 ,1S 4S 6S ,0 1 1 
2 ,7S 5S 2A ,1 0 1 
2 ,3H 20A 7H ,1 1 0 
2 ,8S 9S 6A ,1 0 1 
1 ,6H 10A 15A ,1 1 0 
2 ,16A 19A 17A ,0 1 1 
1 ,8H 11A 21A ,1 1 0 
1 ,18A 14A 8A ,0 1 1 
3 ,3A 7A 1A ,0 1 1 
1 ,0A 10S 5A ,1 1 0 
0 ,14C 12C 4C ,0 0 1 
0 ,13H 14H 12H ,0 0 1 
1 ,13C 8C 3C ,0 1 0 
0 ,13S 12S 1S ,0 1 0 
1 ,2C 10C 11A ,0 1 0 
2 ,2D 7D 8D ,0 0 1 
1 ,13D 3D 17A ,1 0 0 
1 ,5C 15A 16A ,0 1 0 
1 ,4D 19A 14D ,0 0 1 
1 ,6C 5A 7A ,0 1 0 
1 ,5D 14A 11D ,0 0 1 
1 ,7S 3S 2S ,0 1 0 
1 ,10S 5S 4S ,0 1 0 
2 ,1H 4H 3H ,0 1 0 
3 ,14S 6S 11S ,1 0 0 
1 ,8S 8A 10A ,1 0 0 
1 ,2H 6H 9H ,0 1 0 
2 ,6D 12A 13A ,0 0 1 
1 ,9S 3A 6A ,1 0 0 
1 ,5H 7H 1A ,0 1 0 
3 ,10D 18A 21A ,0 0 1 
1 ,8H 2A 10H ,1 0 0 
1 ,20A 0A 4A ,0 0 1 
1 ,9A 11C 11H ,0 0 1 
1 ,3C 1C 4C ,0 1 0 
3 ,12C 6C 13C ,0 0 1 
0 ,13D 14D 2D ,1 0 0 
1 ,14C 8C 2C ,0 0 1 
3 ,12H 5H 13H ,0 0 1 
2 ,12S 4S 1S ,1 0 0 
2 ,13S 10S 2S ,1 0 0 
1 ,14S 13A 6S ,1 0 0 
0 ,14H 7H 11H ,0 0 1 
3 ,7C 10C 1A ,0 0 1 
1 ,1D 4D 7D ,1 0 0 
3 ,3S 5S 0A ,0 1 0 
1 ,3D 6D 11D ,1 0 0 
1 ,8H 1H 2H ,0 1 0 
1 ,9H 6H 3H ,0 1 0 
2 ,10H 4A 4H ,0 1 0 
1 ,5D 8D 14A ,1 0 0 
2 ,16A 19A 10A ,0 1 0 
1 ,7S 8A 9A ,1 0 0 
3 ,17A 21A 11A ,0 1 0 
1 ,8S 9C 6A ,1 0 0 
1 ,18A 15A 11C ,0 1 0 
1 ,20A 2A 10D ,0 1 0 
2 ,3A 7A 9D ,0 1 0 
1 ,12C 2C 11C ,0 1 1 
1 ,13C 6C 1C ,0 1 1 
1 ,14C 9C 3C ,0 1 1 
3 ,13D 12D 14D ,0 1 1 
3 ,14H 11H 12H ,1 0 1 
2 ,4C 5C 10C ,1 0 1 
3 ,14S 9S 13S ,1 1 0 
2 ,13H 1H 4H ,1 1 0 
2 ,3D 1D 2D ,1 1 0 
2 ,5D 6D 4D ,1 1 0 
1 ,7C 8C 0A ,1 0 1 
2 ,7D 9D 8D ,0 1 1 
2 ,10D 20A 11D ,1 1 0 
1 ,6H 4A 2H ,1 0 1 
2 ,2S 4S 11S ,0 1 1 
1 ,7H 18A 5H ,1 0 1 
2 ,6S 5S 16A ,0 1 1 
2 ,8H 15A 17A ,1 0 1 
1 ,7S 13A 19A ,1 1 0 
